,last_broadcast_time,velocity,angle,delta_t,Delta_t,ID,dimension_x,dimension_y,distance
3,9:23:01,3,-90,0.05,1,5,477.0,189.0,15
7,9:23:02,3,-90,0.05,1,5,477.0,189.0,15
11,9:23:03,3,-90,0.05,1,5,477.0,189.0,15
15,9:23:04,3,-90,0.05,1,5,477.0,189.0,15
19,9:23:05,3,-90,0.05,1,5,477.0,189.0,15
23,9:23:06,3,-90,0.05,1,5,477.0,189.0,15
27,9:23:07,3,-90,0.05,1,5,477.0,189.0,15
31,9:23:08,3,-90,0.05,1,5,477.0,189.0,15
35,9:23:09,3,-90,0.05,1,5,477.0,189.0,15
39,9:23:10,3,-90,0.05,1,5,477.0,189.0,15
43,9:23:11,3,-90,0.05,1,5,477.0,189.0,15
47,9:23:12,3,-90,0.05,1,5,477.0,189.0,15
51,9:23:13,3,-90,0.05,1,5,477.0,189.0,15
55,9:23:14,3,-90,0.05,1,5,477.0,189.0,15
59,9:23:15,3,-90,0.05,1,5,477.0,189.0,15
63,9:23:16,3,-90,0.05,1,5,477.0,189.0,15
67,9:23:17,3,-90,0.05,1,5,477.0,189.0,15
71,9:23:18,3,-90,0.05,1,5,477.0,189.0,15
75,9:23:19,3,-90,0.05,1,5,477.0,189.0,15
79,9:23:20,3,-90,0.05,1,5,477.0,189.0,15
